,Unnamed: 0,person_scene,series_num,num_lines,num_words
1,1,Sheldon,Series 01,2,57
2,2,Leonard,Series 01,1,5
3,3,Sheldon,Series 01,2,16
4,4,Leonard,Series 01,1,2
5,5,Receptionist,Series 01,2,2
6,6,Leonard,Series 01,4,39
7,7,Receptionist,Series 01,1,4
8,8,Leonard,Series 01,2,9
9,9,Receptionist,Series 01,1,11
10,10,Sheldon,Series 01,1,6
11,11,Receptionist,Series 01,1,3
12,12,Leonard,Series 01,2,7
13,13,Receptionist,Series 01,3,13
14,14,Sheldon,Series 01,1,9
15,15,Leonard,Series 01,2,9
16,16,Sheldon,Series 01,4,37
17,17,Leonard,Series 01,2,17
18,18,Sheldon,Series 01,1,52
19,19,Leonard,Series 01,1,8
20,20,Sheldon,Series 01,1,3
21,21,Leonard,Series 01,1,7
22,22,Sheldon,Series 01,1,4
23,23,Leonard,Series 01,1,1
24,24,Sheldon,Series 01,1,6
25,25,Leonard,Series 01,1,14
26,26,Sheldon,Series 01,1,6
27,27,Leonard,Series 01,1,1
28,28,Sheldon,Series 01,1,2
29,29,Leonard,Series 01,1,2
31,31,Sheldon,Series 01,1,8
32,32,Leonard,Series 01,1,1
33,33,Sheldon,Series 01,1,9
34,34,Leonard,Series 01,1,2
35,35,Sheldon,Series 01,1,19
36,36,Leonard,Series 01,2,11
37,37,Sheldon,Series 01,1,19
38,38,Leonard,Series 01,1,9
39,39,Sheldon,Series 01,1,10
40,40,Leonard,Series 01,1,2
41,41,Sheldon,Series 01,1,1
42,42,Leonard,Series 01,1,6
43,43,Sheldon,Series 01,1,11
44,44,Penny,Series 01,1,2
45,45,Leonard,Series 01,1,1
46,46,Sheldon,Series 01,1,1
47,47,Leonard,Series 01,1,1
48,48,Sheldon,Series 01,1,1
49,49,Penny,Series 01,1,1
50,50,Leonard,Series 01,1,11
51,51,Penny,Series 01,1,4
52,52,Leonard,Series 01,1,17
53,53,Penny,Series 01,1,10
54,54,Leonard,Series 01,1,2
55,55,Penny,Series 01,1,1
56,56,Leonard,Series 01,1,1
57,57,Sheldon,Series 01,1,1
58,58,Penny,Series 01,2,1
59,59,Leonard,Series 01,2,8
60,60,Penny,Series 01,1,7
61,61,Leonard,Series 01,1,2
62,62,Penny,Series 01,2,1
63,63,Sheldon,Series 01,1,1
64,64,Leonard,Series 01,2,3
65,65,Penny,Series 01,1,1
66,66,Sheldon,Series 01,1,1
67,67,Leonard,Series 01,2,1
68,68,Leonard,Series 01,1,7
69,69,Sheldon,Series 01,2,11
70,70,Leonard,Series 01,1,7
71,71,Sheldon,Series 01,1,3
72,72,Leonard,Series 01,1,14
73,73,Sheldon,Series 01,1,7
74,74,Leonard,Series 01,2,13
75,75,Sheldon,Series 01,3,12
76,76,Leonard,Series 01,1,9
77,77,Sheldon,Series 01,1,6
78,78,Leonard,Series 01,2,15
79,79,Sheldon,Series 01,2,9
80,80,Leonard,Series 01,1,20
81,81,Sheldon,Series 01,1,3
82,82,Leonard,Series 01,2,2
83,83,Penny,Series 01,1,1
84,84,Sheldon,Series 01,1,1
85,85,Leonard,Series 01,1,1
86,86,Penny,Series 01,2,1
87,87,Leonard,Series 01,5,62
88,88,Sheldon,Series 01,1,26
89,89,Penny,Series 01,1,8
90,90,Leonard,Series 01,1,2
91,91,Penny,Series 01,1,9
92,92,Leonard,Series 01,1,1
93,93,Penny,Series 01,1,10
94,94,Sheldon,Series 01,1,7
96,96,Leonard,Series 01,1,6
97,97,Penny,Series 01,1,2
98,98,Leonard,Series 01,1,4
99,99,Penny,Series 01,1,11
100,100,Sheldon,Series 01,1,5
101,101,Penny,Series 01,1,1
102,102,Sheldon,Series 01,2,34
103,103,Penny,Series 01,1,11
104,104,Sheldon,Series 01,2,1
105,105,Penny,Series 01,1,4
106,106,Leonard,Series 01,2,12
107,107,Penny,Series 01,1,2
108,108,Sheldon,Series 01,1,29
109,109,Leonard,Series 01,1,1
110,110,Sheldon,Series 01,2,15
111,111,Leonard,Series 01,1,18
112,112,Sheldon,Series 01,1,8
113,113,Leonard,Series 01,1,3
114,114,Sheldon,Series 01,1,8
115,115,Penny,Series 01,1,8
116,116,Sheldon,Series 01,1,7
117,117,Penny,Series 01,2,5
